Latitude,Longitude,Price,Type,Food,Venue,Sub Category
40.757984,-73.983677,,Full Serve,French,,
40.758612,-73.983233,,Full Serve,American,,
40.758612,-73.983233,,Café / Deli,,,
40.759867,-73.982334,,Full Serve,Italian,,
40.756634,-73.984367,,Full Serve,Italian,,
40.757915,-73.983519,,Bar / Lounge,,,
40.759798,-73.982172,,Full Serve,Italian,,
40.757932,-73.983558,,Full Serve,Chinese,,
40.754998,-73.986284,,Coffee,,,
40.756716,-73.984558,,Full Serve,Barbecue,,
40.759883,-73.982374,,Full Serve,Japanese,,
40.759883,-73.982374,,Full Serve,Japanese,,
40.761439,-73.982168,,Café / Deli,,,
40.762005,-73.981568,,Full Serve,American,,
40.756747,-73.988659,,Full Serve,Diner,,
40.756747,-73.988659,,Café / Deli,,,
40.760454,-73.985655,,Full Serve,Japanese,,
40.760454,-73.985655,,Full Serve,Vietnamese,,
40.756039,-73.990651,,Full Serve,Japanese,,
40.756039,-73.990651,,Full Serve,American,,
40.762164,-73.983575,,Quick Serve,Fast Food,,
40.757674,-73.985121,,Coffee,,,
40.757921,-73.987421,,Full Serve,American,,
40.723909,-73.998048,,Café / Deli,,,
40.759132,-73.986348,,Full Serve,American,,
40.760082,-73.98859,,Full Serve,Italian,,
40.760098,-73.988629,,Full Serve,Steakhouse,,
40.760114,-73.988669,,Full Serve,Steakhouse,,
40.757998,-73.989218,,Café / Deli,,,
40.758007,-73.98924,,Café / Deli,,,
40.756412,-73.987858,,Quick Serve,Fast Food,,
40.758218,-73.989059,,Quick Serve,Fast Food,,
40.758383,-73.98894,,Full Serve,American,,
40.762164,-73.983575,,Café / Deli,,,
40.757103,-73.986193,,Full Serve,American,,
40.757847,-73.985009,,Full Serve,American,,
40.760136,-73.988759,,Full Serve,American,,
40.760153,-73.988803,,Full Serve,Italian,,
40.760186,-73.988882,,Full Serve,American,,
40.760254,-73.989045,,Full Serve,American,,
40.76029,-73.989124,,Full Serve,Spanish,,
40.760307,-73.989167,,Full Serve,French,,
40.760323,-73.989207,,Full Serve,Italian,,
40.761223,-73.984207,,Café / Deli,,,
40.76156,-73.984395,,Coffee,,,
40.761327,-73.984106,,Quick Serve,Pizza,,
40.762861,-73.983109,,Full Serve,Pizza,,
40.758031,-73.983746,,Full Serve,Spanish,,
40.758031,-73.983746,,Full Serve,American,,
40.758665,-73.984977,,Full Serve,American,,
40.760342,-73.989247,,Full Serve,Spanish,,
40.760359,-73.989286,,Full Serve,Seafood,,
40.760373,-73.989276,,Full Serve,Japanese,,
40.760392,-73.989315,,Full Serve,American,,
40.760359,-73.989286,,Full Serve,Cajun,,
40.760395,-73.989369,,Full Serve,Japanese,,
40.760441,-73.989438,,Full Serve,Italian,,
40.760463,-73.989528,,Full Serve,Italian,,
40.757103,-73.986193,,Café / Deli,,,
40.756746,-73.984634,,Full Serve,Mexican,,
40.760477,-73.989521,,Full Serve,Italian,,
40.755802,-73.988482,,Catering,,,
40.761574,-73.983962,,Café / Deli,,,
40.761574,-73.983962,,Café / Deli,,,
40.761574,-73.983962,,Full Serve,American,,
40.76048,-73.989571,,Full Serve,Thai,,
40.76051,-73.9896,,Full Serve,American,,
40.760513,-73.989651,,Full Serve,Italian,,
40.760529,-73.98964,,Full Serve,Russian,,
40.760548,-73.989734,,Full Serve,American,,
40.75886,-73.984843,,Quick Serve,Fast Food,,
40.760562,-73.989723,,Bar / Lounge,,,
40.760565,-73.989774,,Bar / Lounge,,,
40.760578,-73.989763,,Full Serve,Chilean,,
40.755709,-73.987208,,Full Serve,Seafood,,
40.758744,-73.983504,,Full Serve,American,,
40.759192,-73.985186,,Café / Deli,,,
40.756582,-73.989637,,Full Serve,Seafood,,
40.759247,-73.985168,,Bar / Lounge,,,
40.758678,-73.983342,,Full Serve,American,,
40.756763,-73.98467,,Café / Deli,,,
40.760216,-73.985334,,Coffee,,,
40.76035,-73.984713,,Coffee,,,
40.760487,-73.984648,,Full Serve,American,,
40.762861,-73.983109,,Full Serve,Italian,,
40.761964,-73.983684,,Full Serve,American,,
40.762861,-73.983109,,Café / Deli,,,
40.762963,-73.983073,,Quick Serve,Dessert,,
40.75931,-73.984857,,Full Serve,Italian,,
40.760559,-73.983991,,Full Serve,American,,
40.756039,-73.990651,,Café / Deli,,,
40.761585,-73.984456,,Quick Serve,Fast Food,,
40.756382,-73.987789,,Café / Deli,,,
40.755717,-73.98828,,Café / Deli,,,
40.757103,-73.986193,,Catering,,,
40.760987,-73.984987,,Full Serve,Italian,,
40.759697,-73.985818,,Full Serve,Italian,,
40.761014,-73.985052,,Catering,,,
40.761014,-73.985052,,Full Serve,Afghan,,
40.761014,-73.985052,,Full Serve,Italian,,
40.762911,-73.98372,,Full Serve,Steakhouse,,
40.757405,-73.98619,,Full Serve,Italian,,
40.757103,-73.986193,,Quick Serve,Dessert,,
40.757103,-73.986193,,Quick Serve,Dessert,,
40.757998,-73.983667,,Full Serve,Cuban,,
40.755802,-73.988482,,Quick Serve,Pizza,,
40.760441,-73.985622,,Full Serve,Steakhouse,,
40.756747,-73.988659,,Full Serve,American,,
40.756747,-73.988659,,Full Serve,American,,
40.756747,-73.988659,,Café / Deli,,,
40.757636,-73.985804,,Full Serve,American,,
40.756747,-73.988659,,Quick Serve,Dessert,,
40.756747,-73.988659,,Quick Serve,Chinese,,
40.756747,-73.988659,,Quick Serve,Fast Food,,
40.756895,-73.989009,,Café / Deli,,,
40.758805,-73.985312,,Café / Deli,,,
40.757482,-73.988309,,Bar / Lounge,,,
40.759963,-73.984883,,Quick Serve,Other,,
40.758267,-73.985468,,Full Serve,American,,
40.762977,-73.983041,,Full Serve,Italian,,
40.759581,-73.984366,,Full Serve,American,,
40.758267,-73.985468,,Full Serve,American,,
40.761382,-73.983926,,Full Serve,American,,
40.761212,-73.9869,,Full Serve,American,,
40.756461,-73.983952,,Bar / Lounge,,,
40.755278,-73.985172,,Catering,,,
40.759055,-73.98471,,Full Serve,American,,
40.755278,-73.985172,,Catering,,,
40.762074,-73.986275,,Full Serve,Mexican,,
40.757103,-73.986193,,Café / Deli,,,
40.757103,-73.986193,,Café / Deli,,,
40.754707,-73.986753,,Quick Serve,Mexican,,
40.757117,-73.983544,,Full Serve,American,,
40.762639,-73.982146,,Consumables,Beverages,,
40.762639,-73.982146,,Full Serve,Italian,,
40.755973,-73.988886,,Full Serve,Italian,,
40.762257,-73.983492,,Coffee,,,
40.755182,-73.98388,,Full Serve,American,,
40.757026,-73.983291,,Full Serve,American,,
,,,Full Serve,Seafood,,
40.757078,-73.983411,,Café / Deli,,,
40.756461,-73.983952,,Full Serve,Scottish,,
40.756461,-73.983952,,Full Serve,French,,
40.757117,-73.983544,,Catering,,,
40.757117,-73.983544,,Catering,,,
40.75713,-73.983533,,Bar / Lounge,,,
40.756491,-73.983977,,Full Serve,French,,
40.757147,-73.983573,,Bar / Lounge,,,
40.75586,-73.984418,,Full Serve,Belgian,,
40.756505,-73.984017,,Full Serve,Italian,,
40.755873,-73.984454,,Full Serve,American,,
40.755873,-73.984454,,Full Serve,American,,
40.755278,-73.985172,,Full Serve,American,,
40.757814,-73.98328,,Full Serve,American,,
40.757847,-73.98336,,Bar / Lounge,American,,
40.754691,-73.985797,,Full Serve,Pizza,,
40.760374,-73.981533,,Full Serve,Steakhouse,,
40.760374,-73.981533,,Full Serve,Italian,,
40.760374,-73.981533,,Café / Deli,,,
,,,Full Serve,American,,
40.760374,-73.981533,,Quick Serve,Mexican,,
40.761736,-73.980883,,Full Serve,Italian,,
40.757863,-73.9834,,Full Serve,Cuban,,
40.756587,-73.984255,,Quick Serve,Fast Food,,
40.757882,-73.983439,,Full Serve,Indian,,
40.75662,-73.984331,,Bar / Lounge,,,
40.754756,-73.985956,,Café / Deli,,,
40.756856,-73.985973,,Coffee,,,
40.761184,-73.983186,,Coffee,,,
40.761184,-73.983186,,Full Serve,Steakhouse,,
40.761184,-73.983186,,Quick Serve,Dessert,,
40.761184,-73.983186,,Quick Serve,Pizza,,
40.761184,-73.983186,,Full Serve,American,,
40.759293,-73.984543,,Quick Serve,Pizza,,
40.759293,-73.984543,,Full Serve,Steakhouse,,
40.76029,-73.987572,,Quick Serve,Pizza,,
